ne_id,division
A2367-4A22-01,中山區
A1456-4A21-51,大安區
A4051-4A22-01,大安區
A3488-4A21-52,內湖區
A4037-4A22-01,大安區
A3542-4A21-01,內湖區
A3218-4A21-01,內湖區
A2536-4A21-01,內湖區
A3364-4A51-01,南港區
A0238-4A21-51,信義區
A4347-4A22-01,士林區
A4293-4A22-01,大安區
A1738-4A21-01,中正區
A4529-4A22-51,中正區
A4837-4A21-51,中山區
A3863-4A22-51,中正區
A2575-4A22-51,內湖區
A0613-4A22-51,松山區
A2167-4A22-51,大同區
A1378-4A21-01,中正區
A3667-4A51-01,內湖區
A4248-4A22-01,松山區
A1030-4A22-51,大安區
A4109-4A22-51,內湖區
A0601-4A21-52,內湖區
A4828-4A21-51,大安區
A0163-4A22-01,中山區
A1055-4A22-51,內湖區
A5465-4A51-01,大安區
A2255-4A51-01,中山區
A5471-4A22-51,中山區
A1912-4A21-51,內湖區
A2225-4A51-01,中正區
A0249-4A51-01,中正區
A5345-4A22-51,信義區
A2280-4A51-01,大安區
A4428-4A22-52,士林區
A3866-4A51-01,士林區
A1046-4A51-01,中正區
A0595-4A51-01,中正區
A1718-4A21-01,中山區
A2151-4A21-01,中山區
A2353-4A21-01,中山區
A2717-4A21-01,中山區
A2822-4A21-01,中山區
A3174-4A21-01,中山區
A3375-4A51-01,北投區
A4806-4A51-01,萬華區
A3817-4A21-51,大安區
A4366-4A22-01,內湖區
A2703-4A21-01,大安區
A3189-4A21-01,中山區
A3190-4A21-01,中山區
A2562-4A21-51,士林區
A2868-4A21-01,士林區
A2871-4A21-01,士林區
A2870-4A21-01,士林區
A2872-4A21-01,士林區
A4476-4A22-51,中山區
A1884-4A21-01,文山區
A0316-4A21-52,松山區
A0062-4A21-01,大同區
A3175-4A21-01,中山區
A3173-4A21-01,大同區
A2389-4A21-01,大同區
A5531-4A21-53,中山區
A5531-4A21-54,中山區
A5531-4A21-55,中山區
A0787-4A21-01,南港區
A4120-4A22-01,中正區
A3575-4A21-01,內湖區
A0916-4A22-51,中山區
A3002-4A21-01,中正區
A1569-4A21-01,中正區
A2364-4A21-01,中正區
A4608-4A51-01,萬華區
A2477-4A21-01,萬華區
A2478-4A21-01,萬華區
A2268-4A21-01,萬華區
A3241-4A21-01,萬華區
A2264-4A21-01,萬華區
A2600-4A21-01,萬華區
A4650-4A21-51,內湖區
A2755-4A21-01,萬華區
A2741-4A22-51,信義區
A5675-4A21-51,信義區
A0091-4A21-01,中山區
A3058-4A21-01,文山區
A2788-4A21-01,內湖區
A2711-4A21-01,大安區
A5531-4A21-52,中山區
A1384-4A22-51,松山區
A0736-4A21-01,士林區
A2869-4A21-01,士林區
A5648-4A51-01,內湖區
A4388-4A22-01,大安區
A2935-4A21-01,大同區
A2804-4A21-01,大同區
A3062-4A21-01,中正區
A3242-4A21-01,萬華區
A2969-4A51-01,士林區
A2640-4A51-01,士林區
A5095-4A22-51,信義區
A5132-4A21-51,信義區
A2931-4A21-01,文山區
A3094-4A21-01,文山區
A1797-4A21-51,大安區
A3024-4A21-01,文山區
A4879-4A21-51,信義區
A3089-4A21-01,文山區
A3011-4A21-01,文山區
A3027-4A21-01,文山區
A1747-4A51-01,文山區
A3076-4A21-01,文山區
A4784-4A21-51,中山區
A2924-4A22-01,松山區
A3319-4A21-01,信義區
A3049-4A21-01,信義區
A3039-4A21-01,信義區
A2920-4A22-01,松山區
A3079-4A21-01,南港區
A4825-4A22-51,松山區
A3651-4A21-01,大安區
A3591-4A21-01,中正區
A3031-4A21-01,信義區
A2065-4A22-51,大安區
A3684-4A51-01,南港區
A3052-4A21-01,南港區
A2993-4A22-01,中山區
A5015-4A51-01,內湖區
A0016-4A21-51,松山區
A2369-4A21-01,大安區
A4836-4A22-51,大同區
A4742-4A51-01,中山區
A2309-4A22-51,中正區
A0300-4A22-51,內湖區
A5056-4A22-51,信義區
A2922-4A22-01,松山區
A5176-4A51-01,士林區
A3840-4A51-01,文山區
A3293-4A22-01,大同區
A3299-4A21-01,內湖區
A4760-4A51-01,內湖區
A3391-4A21-01,大同區
A3000-4A21-01,大同區
A4952-4A22-51,信義區
A3295-4A21-01,北投區
A3022-4A21-01,北投區
A3345-4A21-01,士林區
A3359-4A21-01,士林區
A3350-4A21-01,士林區
A3351-4A21-01,士林區
A3093-4A21-01,士林區
A3358-4A21-01,士林區
A3343-4A21-01,北投區
A3344-4A21-01,士林區
A3346-4A21-01,士林區
A3349-4A21-01,士林區
A3023-4A21-01,士林區
A3021-4A21-01,士林區
A3353-4A21-01,士林區
A3138-4A21-01,士林區
A3812-4A22-01,中山區
A3354-4A21-01,士林區
A3357-4A21-01,士林區
A3360-4A21-01,士林區
A3077-4A21-01,士林區
A2819-4A21-01,信義區
A3205-4A21-01,信義區
A3216-4A21-01,信義區
A3877-4A51-01,中正區
A1699-4A21-01,大同區
A3356-4A21-01,士林區
A3236-4A21-01,信義區
A2373-4A21-01,信義區
A2096-4A21-01,信義區
A2974-4A21-01,信義區
A2975-4A21-01,信義區
A2286-4A21-01,信義區
A3204-4A21-01,信義區
A3380-4A21-01,信義區
A3170-4A21-01,信義區
A3203-4A21-01,信義區
A0233-4A21-01,信義區
A3412-4A21-01,文山區
A2487-4A21-01,文山區
A2548-4A21-01,文山區
A3355-4A21-01,士林區
A2835-4A21-01,士林區
A2846-4A21-01,士林區
A2698-4A21-01,士林區
A2642-4A21-01,士林區
A2824-4A21-01,北投區
A2260-4A21-01,士林區
A2406-4A21-01,士林區
A2441-4A21-01,信義區
A2875-4A21-01,信義區
A3160-4A21-01,信義區
A2746-4A21-01,信義區
A2798-4A21-01,大安區
A3120-4A21-01,士林區
A0890-4A21-01,士林區
A2750-4A21-01,士林區
A2795-4A21-01,士林區
A2839-4A21-01,士林區
A2971-4A21-01,士林區
A2809-4A21-01,士林區
A2777-4A21-01,士林區
A2817-4A21-01,信義區
A1967-4A21-01,信義區
A0773-4A21-01,中正區
A2685-4A21-01,中正區
A2350-4A21-01,中正區
A2816-4A21-01,大安區
A0754-4A21-01,中山區
A2813-4A21-01,北投區
A1703-4A21-01,大同區
A2615-4A21-01,大同區
A2738-4A21-01,大同區
A2823-4A21-01,大同區
A1351-4A21-01,北投區
A1350-4A21-01,北投區
A2501-4A21-51,內湖區
A2674-4A21-01,大安區
A3005-4A21-01,大安區
A1970-4A21-52,中正區
A1970-4A21-53,中正區
A3986-4A21-51,內湖區
A0480-4A21-51,內湖區
A3217-4A21-01,中正區
A0722-4A22-51,內湖區
A4763-4A51-01,中山區
NNH-4A22-52,內湖區
A0732-4A51-01,中山區
A1705-4A51-01,中山區
A3788-4A22-01,信義區
A4734-4A51-01,松山區
A3466-4A21-01,松山區
A1696-4A21-01,大同區
A2550-4A21-01,中山區
A4846-4A22-51,大安區
A2936-4A21-01,萬華區
A2276-4A21-01,萬華區
A2277-4A21-01,萬華區
A2938-4A21-01,萬華區
A1118-4A22-51,中山區
A2658-4A21-01,萬華區
A2538-4A21-01,萬華區
A2943-4A21-01,萬華區
A4306-4A22-51,大安區
A2858-4A21-01,士林區
A1085-4A21-51,中山區
A3429-4A21-01,文山區
A5548-4A51-01,大安區
NNH-4A21-68,內湖區
A2439-4A21-01,信義區
A2864-4A21-01,士林區
A2863-4A21-01,士林區
A2859-4A21-01,士林區
A2862-4A21-01,士林區
A2860-4A21-01,士林區
A2865-4A21-01,士林區
A0319-4A21-51,內湖區
A2807-4A21-01,松山區
A4240-4A22-51,中山區
A3166-4A21-01,中正區
A3235-4A21-01,中正區
A2684-4A21-01,中正區
A3228-4A21-01,大同區
A0866-4A21-01,信義區
A3105-4A21-01,信義區
A0840-4A21-51,中山區
A4510-4A22-51,中正區
A2645-4A21-01,大同區
A1093-4A21-01,大同區
A2496-4A21-01,大同區
A2748-4A21-01,中正區
A1740-4A21-01,中正區
A1766-4A21-01,中正區
A0161-4A21-01,中正區
A0226-4A21-01,大同區
A2242-4A21-01,中山區
A1077-4A21-51,內湖區
A3310-4A22-01,大同區
A0614-4A21-52,內湖區
A5069-4A22-51,信義區
A3376-4A51-01,北投區
NNH-4A51-52,內湖區
A3230-4A21-01,北投區
A2715-4A21-01,士林區
A2490-4A21-01,大安區
A3729-4A21-01,大安區
A2237-4A21-52,內湖區
A2338-4A21-01,文山區
A3501-4A21-01,文山區
NNH-4A21-54,內湖區
A3544-4A21-01,中正區
A1548-4A22-51,南港區
A3537-4A21-51,南港區
A2170-4A21-51,內湖區
A3532-4A21-01,大安區
A5479-4A22-51,大安區
A2345-4A21-01,信義區
A4503-4A51-01,中山區
NSY-4A21-51,信義區
A4757-4A51-01,南港區
A2347-4A21-01,信義區
A2649-4A21-01,大安區
NSY-4A21-52,信義區
A2423-4A22-01,大同區
A1692-4A21-01,北投區
A2944-4A22-01,中正區
A2744-4A21-01,中山區
A3852-4A22-01,內湖區
A2707-4A21-01,中山區
A3759-4A22-01,文山區
A2758-4A21-01,中山區
A2333-4A21-01,大安區
A3505-4A21-01,文山區
A1085-4A21-52,中山區
A2255-4A21-01,中山區
A2234-4A22-51,大安區
A1457-4A21-01,北投區
A3137-4A21-01,中正區
